
---------- Begin Simulation Statistics ----------
simSeconds                                   0.397504                       # Number of seconds simulated (Second)
simTicks                                 397503908750                       # Number of ticks simulated (Tick)
finalTick                                397503908750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1313.57                       # Real time elapsed on the host (Second)
hostTickRate                                302613017                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3093076                       # Number of bytes of host memory used (Byte)
simInsts                                    244907757                       # Number of instructions simulated (Count)
simOps                                      269471558                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186444                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     205144                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
testsys.clk_domain.clock                         1000                       # Clock period in ticks (Tick)
testsys.cpu_cluster.clk_domain.clock              250                       # Clock period in ticks (Tick)
testsys.cpu_cluster.cpus0.numCycles         255764478                       # Number of cpu cycles simulated (Cycle)
testsys.cpu_cluster.cpus0.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
testsys.cpu_cluster.cpus0.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
testsys.cpu_cluster.cpus0.instsAdded        151374464                       # Number of instructions added to the IQ (excludes non-spec) (Count)
testsys.cpu_cluster.cpus0.nonSpecInstsAdded      1238239                       # Number of non-speculative instructions added to the IQ (Count)
testsys.cpu_cluster.cpus0.instsIssued       149691118                       # Number of instructions issued (Count)
testsys.cpu_cluster.cpus0.squashedInstsIssued       139891                       # Number of squashed instructions issued (Count)
testsys.cpu_cluster.cpus0.squashedInstsExamined     19048664                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
testsys.cpu_cluster.cpus0.squashedOperandsExamined     13575266                       # Number of squashed operands that are examined and possibly removed from graph (Count)
testsys.cpu_cluster.cpus0.squashedNonSpecRemoved       133600                       # Number of squashed non-spec instructions that were removed (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::samples    183522650                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::mean     0.815655                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::stdev     1.740672                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::0    138049429     75.22%     75.22% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::1     10501026      5.72%     80.94% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::2      9314604      5.08%     86.02% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::3      7699426      4.20%     90.21% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::4      5943823      3.24%     93.45% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::5      4303775      2.35%     95.80% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::6      3836988      2.09%     97.89% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::7      1842121      1.00%     98.89% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::8      2031458      1.11%    100.00% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::total    183522650                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::IntAlu      1102999     51.34%     51.34% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::IntMult         3529      0.16%     51.50% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::IntDiv        12938      0.60%     52.10% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::FloatAdd            0      0.00%     52.10% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::FloatCmp            0      0.00%     52.10% # attempts to use FU when none available (Count)
