
---------- Begin Simulation Statistics ----------
simSeconds                                   0.389648                       # Number of seconds simulated (Second)
simTicks                                 389647582500                       # Number of ticks simulated (Tick)
finalTick                                389647582500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    606.06                       # Real time elapsed on the host (Second)
hostTickRate                                642913959                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  408010576                       # Number of bytes of host memory used (Byte)
simInsts                                    244856492                       # Number of instructions simulated (Count)
simOps                                      269429685                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   404010                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     444556                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
testsys.clk_domain.clock                         1000                       # Clock period in ticks (Tick)
testsys.cpu_cluster.clk_domain.clock              250                       # Clock period in ticks (Tick)
testsys.cpu_cluster.cpus0.numCycles         237747952                       # Number of cpu cycles simulated (Cycle)
testsys.cpu_cluster.cpus0.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
testsys.cpu_cluster.cpus0.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
testsys.cpu_cluster.cpus0.instsAdded        143507694                       # Number of instructions added to the IQ (excludes non-spec) (Count)
testsys.cpu_cluster.cpus0.nonSpecInstsAdded      1142261                       # Number of non-speculative instructions added to the IQ (Count)
testsys.cpu_cluster.cpus0.instsIssued       142226389                       # Number of instructions issued (Count)
testsys.cpu_cluster.cpus0.squashedInstsIssued       113762                       # Number of squashed instructions issued (Count)
testsys.cpu_cluster.cpus0.squashedInstsExamined     17366571                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
testsys.cpu_cluster.cpus0.squashedOperandsExamined     12318999                       # Number of squashed operands that are examined and possibly removed from graph (Count)
testsys.cpu_cluster.cpus0.squashedNonSpecRemoved       128738                       # Number of squashed non-spec instructions that were removed (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::samples    170962857                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::mean     0.831914                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::stdev     1.754833                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::0    127930706     74.83%     74.83% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::1      9704136      5.68%     80.51% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::2      8869352      5.19%     85.69% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::3      7389088      4.32%     90.02% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::4      5662674      3.31%     93.33% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::5      4083889      2.39%     95.72% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::6      3651436      2.14%     97.85% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::7      1735080      1.01%     98.87% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::8      1936496      1.13%    100.00% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.numIssuedDist::total    170962857                       # Number of insts issued each cycle (Count)
testsys.cpu_cluster.cpus0.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::IntAlu      1037428     52.09%     52.09% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::IntMult         3580      0.18%     52.27% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::IntDiv        11422      0.57%     52.85% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::FloatAdd            0      0.00%     52.85% # attempts to use FU when none available (Count)
testsys.cpu_cluster.cpus0.statFuBusy::FloatCmp            0      0.00%     52.85% # attempts to use FU when none available (Count)
